Employee_ID,Age,Gender
EMP0001,32,Non-binary
EMP0002,40,Female
EMP0003,59,Non-binary
EMP0004,27,Male
EMP0005,49,Male
EMP0006,59,Non-binary
EMP0007,31,Prefer not to say
EMP0008,42,Non-binary
EMP0009,56,Prefer not to say
EMP0010,30,Female
EMP0011,33,Non-binary
EMP0012,47,Female
EMP0013,40,Female
EMP0014,51,Non-binary
EMP0015,36,Prefer not to say
EMP0016,56,Female
EMP0017,33,Prefer not to say
EMP0018,45,Non-binary
EMP0019,49,Non-binary
EMP0020,59,Male
EMP0021,26,Female
EMP0022,26,Non-binary
EMP0023,43,Prefer not to say
EMP0024,53,Non-binary
EMP0025,56,Male
EMP0026,49,Male
EMP0027,36,Non-binary
EMP0028,53,Female
EMP0029,47,Prefer not to say
EMP0030,59,Male
EMP0031,22,Female
EMP0032,37,Prefer not to say
EMP0033,45,Prefer not to say
EMP0034,48,Male
EMP0035,36,Male
EMP0036,46,Prefer not to say
EMP0037,48,Male
EMP0038,31,Female
EMP0039,24,Non-binary
EMP0040,49,Male
EMP0041,30,Non-binary
EMP0042,53,Male
EMP0043,54,Prefer not to say
EMP0044,54,Female
EMP0045,57,Prefer not to say
EMP0046,32,Male
EMP0047,33,Male
EMP0048,30,Female
EMP0049,22,Female
EMP0050,35,Male
EMP0051,26,Non-binary
EMP0052,47,Male
EMP0053,42,Female
EMP0054,60,Prefer not to say
EMP0055,26,Female
EMP0056,30,Non-binary
EMP0057,42,Male
EMP0058,53,Prefer not to say
EMP0059,26,Prefer not to say
EMP0060,26,Prefer not to say
EMP0061,25,Non-binary
EMP0062,33,Female
EMP0063,25,Non-binary
EMP0064,22,Female
EMP0065,60,Prefer not to say
EMP0066,56,Male
EMP0067,45,Non-binary
EMP0068,60,Female
EMP0069,32,Female
EMP0070,25,Female
EMP0071,43,Prefer not to say
EMP0072,50,Prefer not to say
EMP0073,28,Prefer not to say
EMP0074,23,Non-binary
EMP0075,38,Prefer not to say
EMP0076,42,Male
EMP0077,31,Non-binary
EMP0078,28,Female
EMP0079,29,Male
EMP0080,27,Male
EMP0081,54,Female
EMP0082,42,Non-binary
EMP0083,58,Prefer not to say
EMP0084,26,Female
EMP0085,56,Male
EMP0086,50,Male
EMP0087,55,Prefer not to say
EMP0088,22,Prefer not to say
EMP0089,24,Female
EMP0090,53,Prefer not to say
EMP0091,57,Female
EMP0092,22,Female
EMP0093,41,Male
EMP0094,46,Non-binary
EMP0095,60,Non-binary
EMP0096,44,Female
EMP0097,35,Male
EMP0098,48,Male
EMP0099,31,Prefer not to say
EMP0100,53,Male
EMP0101,32,Prefer not to say
EMP0102,33,Prefer not to say
EMP0103,45,Prefer not to say
EMP0104,50,Male
EMP0105,41,Female
EMP0106,43,Non-binary
EMP0107,29,Prefer not to say
EMP0108,44,Prefer not to say
EMP0109,50,Prefer not to say
EMP0110,36,Male
EMP0111,34,Female
EMP0112,49,Male
EMP0113,45,Female
EMP0114,45,Prefer not to say
EMP0115,53,Female
EMP0116,29,Male
EMP0117,34,Prefer not to say
EMP0118,58,Female
EMP0119,38,Female
EMP0120,40,Prefer not to say
EMP0121,45,Prefer not to say
EMP0122,43,Non-binary
EMP0123,50,Male
EMP0124,58,Prefer not to say
EMP0125,42,Non-binary
EMP0126,53,Prefer not to say
EMP0127,36,Female
EMP0128,51,Female
EMP0129,27,Female
EMP0130,22,Female
EMP0131,32,Female
EMP0132,32,Female
EMP0133,53,Male
EMP0134,26,Non-binary
EMP0135,60,Male
EMP0136,51,Non-binary
EMP0137,44,Male
EMP0138,48,Non-binary
EMP0139,57,Non-binary
EMP0140,49,Non-binary
EMP0141,32,Non-binary
EMP0142,49,Female
EMP0143,23,Female
EMP0144,55,Prefer not to say
EMP0145,47,Non-binary
EMP0146,48,Non-binary
EMP0147,36,Prefer not to say
EMP0148,45,Male
EMP0149,41,Female
EMP0150,50,Male
EMP0151,41,Female
EMP0152,57,Female
EMP0153,30,Male
EMP0154,23,Female
EMP0155,30,Male
EMP0156,47,Female
EMP0157,33,Prefer not to say
EMP0158,32,Male
EMP0159,43,Male
EMP0160,43,Non-binary
EMP0161,35,Female
EMP0162,40,Female
EMP0163,29,Prefer not to say
EMP0164,24,Non-binary
EMP0165,40,Male
EMP0166,22,Female
EMP0167,48,Non-binary
EMP0168,60,Non-binary
EMP0169,34,Prefer not to say
EMP0170,50,Prefer not to say
EMP0171,38,Male
EMP0172,36,Male
EMP0173,35,Non-binary
EMP0174,25,Prefer not to say
EMP0175,34,Non-binary
EMP0176,32,Prefer not to say
EMP0177,58,Prefer not to say
EMP0178,40,Female
EMP0179,56,Female
EMP0180,44,Non-binary
EMP0181,30,Non-binary
EMP0182,49,Non-binary
EMP0183,26,Male
EMP0184,52,Male
EMP0185,24,Prefer not to say
EMP0186,40,Non-binary
EMP0187,57,Non-binary
EMP0188,23,Prefer not to say
EMP0189,40,Prefer not to say
EMP0190,45,Male
EMP0191,46,Female
EMP0192,37,Female
EMP0193,51,Female
EMP0194,52,Male
EMP0195,53,Male
EMP0196,39,Male
EMP0197,56,Female
EMP0198,59,Non-binary
EMP0199,28,Male
EMP0200,36,Female
EMP0201,45,Non-binary
EMP0202,52,Male
EMP0203,55,Female
EMP0204,58,Male
EMP0205,51,Prefer not to say
EMP0206,52,Male
EMP0207,54,Non-binary
EMP0208,35,Male
EMP0209,39,Male
EMP0210,47,Prefer not to say
EMP0211,49,Male
EMP0212,60,Prefer not to say
EMP0213,47,Female
EMP0214,27,Prefer not to say
EMP0215,46,Prefer not to say
EMP0216,25,Non-binary
EMP0217,30,Male
EMP0218,38,Prefer not to say
EMP0219,56,Female
EMP0220,42,Male
EMP0221,42,Prefer not to say
EMP0222,30,Female
EMP0223,33,Male
EMP0224,28,Non-binary
EMP0225,50,Non-binary
EMP0226,44,Male
EMP0227,40,Female
EMP0228,23,Male
EMP0229,30,Female
EMP0230,42,Female
EMP0231,52,Male
EMP0232,37,Male
EMP0233,28,Prefer not to say
EMP0234,31,Prefer not to say
EMP0235,23,Prefer not to say
EMP0236,37,Male
EMP0237,25,Male
EMP0238,55,Female
EMP0239,56,Non-binary
EMP0240,51,Prefer not to say
EMP0241,35,Male
EMP0242,22,Non-binary
EMP0243,34,Non-binary
EMP0244,37,Prefer not to say
EMP0245,59,Prefer not to say
EMP0246,53,Female
EMP0247,38,Male
EMP0248,32,Male
EMP0249,36,Prefer not to say
EMP0250,29,Female
EMP0251,38,Non-binary
EMP0252,32,Male
EMP0253,43,Prefer not to say
EMP0254,46,Prefer not to say
EMP0255,42,Prefer not to say
EMP0256,27,Male
EMP0257,54,Prefer not to say
EMP0258,43,Male
EMP0259,31,Female
EMP0260,53,Non-binary
EMP0261,57,Non-binary
EMP0262,50,Non-binary
EMP0263,37,Male
EMP0264,58,Female
EMP0265,57,Non-binary
EMP0266,50,Prefer not to say
EMP0267,48,Male
EMP0268,43,Non-binary
EMP0269,58,Female
EMP0270,30,Male
EMP0271,44,Non-binary
EMP0272,41,Prefer not to say
EMP0273,60,Female
EMP0274,58,Non-binary
EMP0275,60,Prefer not to say
EMP0276,27,Non-binary
EMP0277,38,Female
EMP0278,56,Male
EMP0279,31,Male
EMP0280,37,Prefer not to say
EMP0281,41,Female
EMP0282,58,Male
EMP0283,49,Male
EMP0284,23,Non-binary
EMP0285,24,Non-binary
EMP0286,41,Prefer not to say
EMP0287,32,Female
EMP0288,47,Prefer not to say
EMP0289,23,Non-binary
EMP0290,34,Prefer not to say
EMP0291,42,Male
EMP0292,42,Prefer not to say
EMP0293,33,Female
EMP0294,40,Male
EMP0295,27,Male
EMP0296,39,Prefer not to say
EMP0297,42,Female
EMP0298,22,Non-binary
EMP0299,45,Female
EMP0300,47,Female
EMP0301,24,Non-binary
EMP0302,48,Non-binary
EMP0303,60,Non-binary
EMP0304,41,Non-binary
EMP0305,49,Prefer not to say
EMP0306,27,Prefer not to say
EMP0307,35,Prefer not to say
EMP0308,23,Male
EMP0309,24,Prefer not to say
EMP0310,41,Non-binary
EMP0311,41,Prefer not to say
EMP0312,43,Female
EMP0313,30,Non-binary
EMP0314,44,Male
EMP0315,50,Male
EMP0316,48,Non-binary
EMP0317,45,Male
EMP0318,60,Male
EMP0319,51,Prefer not to say
EMP0320,48,Prefer not to say
EMP0321,43,Female
EMP0322,23,Prefer not to say
EMP0323,32,Male
EMP0324,44,Non-binary
EMP0325,36,Female
EMP0326,50,Male
EMP0327,54,Non-binary
EMP0328,54,Male
EMP0329,33,Prefer not to say
EMP0330,47,Prefer not to say
EMP0331,25,Prefer not to say
EMP0332,38,Male
EMP0333,31,Female
EMP0334,58,Male
EMP0335,28,Prefer not to say
EMP0336,54,Prefer not to say
EMP0337,60,Female
EMP0338,38,Non-binary
EMP0339,31,Female
EMP0340,42,Non-binary
EMP0341,52,Female
EMP0342,41,Female
EMP0343,44,Male
EMP0344,42,Female
EMP0345,53,Male
EMP0346,52,Female
EMP0347,23,Non-binary
EMP0348,24,Female
EMP0349,41,Prefer not to say
EMP0350,60,Prefer not to say
EMP0351,25,Prefer not to say
EMP0352,55,Prefer not to say
EMP0353,33,Non-binary
EMP0354,43,Prefer not to say
EMP0355,59,Male
EMP0356,48,Male
EMP0357,31,Non-binary
EMP0358,28,Male
EMP0359,49,Male
EMP0360,56,Prefer not to say
EMP0361,56,Non-binary
EMP0362,51,Female
EMP0363,38,Non-binary
EMP0364,40,Male
EMP0365,56,Non-binary
EMP0366,33,Non-binary
EMP0367,45,Male
EMP0368,55,Non-binary
EMP0369,39,Female
EMP0370,58,Non-binary
EMP0371,41,Non-binary
EMP0372,57,Prefer not to say
EMP0373,31,Female
EMP0374,34,Prefer not to say
EMP0375,39,Prefer not to say
EMP0376,29,Non-binary
EMP0377,31,Prefer not to say
EMP0378,30,Female
EMP0379,53,Prefer not to say
EMP0380,27,Male
EMP0381,39,Male
EMP0382,59,Male
EMP0383,58,Non-binary
EMP0384,28,Prefer not to say
EMP0385,56,Male
EMP0386,31,Non-binary
EMP0387,28,Female
EMP0388,46,Female
EMP0389,32,Female
EMP0390,37,Male
EMP0391,50,Prefer not to say
EMP0392,55,Female
EMP0393,45,Female
EMP0394,50,Female
EMP0395,43,Prefer not to say
