Employee_ID,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings
EMP0001,HR,Healthcare,13,Hybrid,47,7
EMP0002,Data Scientist,IT,3,Remote,52,4
EMP0003,Software Engineer,Education,22,Hybrid,46,11
EMP0004,Software Engineer,Finance,20,Onsite,32,8
EMP0005,Sales,Consulting,32,Onsite,35,12
EMP0006,Sales,IT,31,Hybrid,39,3
EMP0007,Sales,IT,24,Remote,51,7
EMP0008,Data Scientist,Manufacturing,6,Onsite,54,7
EMP0009,Data Scientist,Healthcare,9,Hybrid,24,4
EMP0010,HR,IT,28,Hybrid,57,6
EMP0011,Software Engineer,Finance,17,Remote,48,3
EMP0012,Marketing,Consulting,31,Hybrid,26,12
EMP0013,Marketing,Consulting,1,Remote,21,7
EMP0014,Designer,Manufacturing,5,Hybrid,45,13
EMP0015,Project Manager,Retail,23,Remote,59,11
EMP0016,Sales,Healthcare,13,Remote,44,11
EMP0017,HR,Education,3,Onsite,52,9
EMP0018,Data Scientist,Consulting,20,Onsite,37,8
EMP0019,Software Engineer,IT,30,Remote,36,6
EMP0020,Software Engineer,Consulting,13,Remote,59,4
EMP0021,Sales,Retail,33,Hybrid,21,1
EMP0022,Sales,Education,21,Onsite,54,12
EMP0023,Sales,Finance,21,Onsite,57,1
EMP0024,Marketing,Consulting,11,Onsite,22,12
EMP0025,Sales,Finance,6,Remote,54,15
EMP0026,Project Manager,Healthcare,23,Onsite,21,14
EMP0027,Project Manager,Retail,30,Onsite,24,12
EMP0028,Project Manager,Retail,31,Onsite,56,4
EMP0029,Sales,IT,22,Onsite,33,10
EMP0030,Software Engineer,Healthcare,34,Remote,25,15
EMP0031,Data Scientist,IT,22,Onsite,20,11
EMP0032,Marketing,Manufacturing,4,Hybrid,33,14
EMP0033,Project Manager,Manufacturing,29,Remote,20,14
EMP0034,Software Engineer,Healthcare,27,Remote,26,9
EMP0035,Designer,IT,24,Hybrid,22,6
EMP0036,Sales,Healthcare,28,Hybrid,57,8
EMP0037,Sales,Finance,10,Onsite,30,12
EMP0038,Designer,Healthcare,18,Remote,47,14
EMP0039,Sales,IT,21,Onsite,48,12
EMP0040,Marketing,Consulting,20,Hybrid,20,1
EMP0041,Data Scientist,IT,22,Remote,44,15
EMP0042,Project Manager,IT,14,Onsite,29,13
EMP0043,Project Manager,Finance,26,Remote,58,6
EMP0044,Designer,Manufacturing,12,Remote,53,12
EMP0045,HR,Retail,13,Remote,23,6
EMP0046,Marketing,Retail,24,Remote,42,8
EMP0047,Data Scientist,Education,33,Remote,35,15
EMP0048,Sales,Consulting,4,Remote,39,2
EMP0049,HR,Healthcare,7,Onsite,29,9
EMP0050,Project Manager,Retail,11,Onsite,37,3
EMP0051,HR,Manufacturing,34,Onsite,28,10
EMP0052,Sales,Consulting,25,Remote,31,9
EMP0053,Software Engineer,Retail,3,Onsite,26,14
EMP0054,Project Manager,Healthcare,34,Onsite,46,15
EMP0055,Software Engineer,Education,5,Hybrid,55,6
EMP0056,Project Manager,Education,8,Hybrid,47,12
EMP0057,Software Engineer,IT,14,Remote,48,13
EMP0058,HR,IT,7,Onsite,49,6
EMP0059,Designer,Manufacturing,31,Remote,51,4
EMP0060,Data Scientist,IT,17,Remote,57,13
EMP0061,Sales,Consulting,4,Hybrid,33,14
EMP0062,Sales,IT,14,Remote,30,15
EMP0063,Project Manager,Finance,20,Hybrid,28,4
EMP0064,Software Engineer,Healthcare,5,Onsite,31,15
EMP0065,Data Scientist,Healthcare,18,Hybrid,37,0
EMP0066,HR,Finance,9,Remote,31,3
EMP0067,Software Engineer,IT,6,Hybrid,46,3
EMP0068,Marketing,Education,32,Remote,20,6
EMP0069,Designer,Manufacturing,23,Onsite,51,8
EMP0070,Marketing,Finance,6,Remote,28,13
EMP0071,Marketing,Consulting,23,Onsite,39,4
EMP0072,Designer,Consulting,25,Remote,29,13
EMP0073,Designer,Retail,15,Onsite,30,14
EMP0074,Software Engineer,IT,29,Hybrid,53,7
EMP0075,Project Manager,Consulting,35,Onsite,57,10
EMP0076,Marketing,Retail,27,Onsite,49,3
EMP0077,HR,Consulting,4,Onsite,55,8
EMP0078,Marketing,Healthcare,25,Remote,37,10
EMP0079,Data Scientist,Manufacturing,15,Remote,51,5
EMP0080,Project Manager,Consulting,21,Hybrid,21,7
EMP0081,Data Scientist,Education,5,Hybrid,21,10
