Employee_ID,Work_Life_Balance_Rating,Access_to_Mental_Health_Resources,Productivity_Change,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Region
EMP0001,2,No,Decrease,Unsatisfied,1,Europe
EMP0002,1,No,Increase,Satisfied,2,Asia
EMP0003,5,No,No Change,Unsatisfied,5,North America
EMP0004,4,Yes,Increase,Unsatisfied,3,Europe
EMP0005,2,Yes,Decrease,Unsatisfied,3,North America
EMP0006,4,No,Increase,Unsatisfied,1,South America
EMP0007,3,Yes,Decrease,Neutral,3,Asia
EMP0008,3,No,Decrease,Satisfied,4,North America
EMP0009,2,Yes,Decrease,Unsatisfied,4,Europe
EMP0010,1,Yes,Decrease,Neutral,1,North America
EMP0011,3,Yes,Decrease,Satisfied,2,Oceania
EMP0012,4,Yes,No Change,Neutral,3,Africa
EMP0013,2,Yes,Decrease,Neutral,1,Europe
EMP0014,1,No,Decrease,Satisfied,5,North America
EMP0015,3,Yes,Decrease,Neutral,3,Oceania
EMP0016,4,No,No Change,Satisfied,4,Africa
EMP0017,2,No,No Change,Satisfied,1,Africa
EMP0018,3,Yes,Decrease,Neutral,5,Europe
EMP0019,1,No,No Change,Satisfied,2,Oceania
EMP0020,3,No,Decrease,Neutral,1,South America
EMP0021,2,No,Increase,Satisfied,1,South America
EMP0022,3,No,Decrease,Unsatisfied,4,North America
EMP0023,3,Yes,Increase,Satisfied,4,Africa
EMP0024,5,No,No Change,Neutral,3,Asia
EMP0025,3,No,Increase,Neutral,4,North America
EMP0026,4,No,No Change,Neutral,3,South America
EMP0027,3,No,Decrease,Unsatisfied,4,North America
EMP0028,4,No,No Change,Unsatisfied,4,Oceania
EMP0029,3,Yes,Decrease,Satisfied,1,Europe
EMP0030,2,Yes,No Change,Satisfied,1,North America
EMP0031,1,Yes,No Change,Neutral,2,Asia
EMP0032,2,No,Decrease,Satisfied,5,North America
EMP0033,2,Yes,Decrease,Satisfied,5,North America
EMP0034,3,Yes,No Change,Neutral,4,North America
EMP0035,4,No,No Change,Unsatisfied,3,Europe
EMP0036,4,Yes,No Change,Neutral,5,Europe
EMP0037,1,Yes,Decrease,Satisfied,3,Asia
EMP0038,2,Yes,Increase,Satisfied,5,Asia
EMP0039,4,Yes,No Change,Neutral,1,Africa
EMP0040,3,No,Increase,Unsatisfied,5,Asia
EMP0041,4,No,Decrease,Neutral,5,Europe
EMP0042,2,No,No Change,Unsatisfied,5,North America
EMP0043,3,Yes,Increase,Unsatisfied,3,Europe
EMP0044,4,Yes,No Change,Unsatisfied,3,Europe
EMP0045,3,Yes,No Change,Neutral,2,South America
EMP0046,2,No,No Change,Neutral,3,North America
EMP0047,1,Yes,Decrease,Unsatisfied,5,South America
EMP0048,5,No,Decrease,Unsatisfied,4,Oceania
EMP0049,4,No,Increase,Neutral,3,Africa
EMP0050,4,No,No Change,Satisfied,3,Europe
EMP0051,4,Yes,Decrease,Satisfied,4,Europe
EMP0052,5,No,Decrease,Satisfied,1,South America
EMP0053,3,No,Decrease,Satisfied,2,South America
EMP0054,2,Yes,No Change,Neutral,1,Asia
EMP0055,1,Yes,Decrease,Satisfied,1,Asia
EMP0056,3,No,Increase,Neutral,5,Africa
EMP0057,5,Yes,Increase,Neutral,5,Asia
EMP0058,5,No,No Change,Satisfied,3,South America
EMP0059,1,No,Decrease,Unsatisfied,3,Oceania
EMP0060,2,Yes,No Change,Satisfied,5,Oceania
EMP0061,4,Yes,No Change,Unsatisfied,2,Europe
EMP0062,2,Yes,Increase,Unsatisfied,5,North America
EMP0063,3,No,No Change,Satisfied,2,Asia
EMP0064,3,Yes,No Change,Satisfied,5,South America
EMP0065,4,No,No Change,Unsatisfied,2,Oceania
EMP0066,4,Yes,Increase,Satisfied,4,Europe
EMP0067,1,No,Increase,Satisfied,2,Oceania
EMP0068,2,Yes,Decrease,Unsatisfied,4,Oceania
EMP0069,2,Yes,Decrease,Neutral,1,South America
EMP0070,2,No,No Change,Neutral,1,North America
EMP0071,4,No,Increase,Satisfied,1,North America
EMP0072,1,Yes,No Change,Neutral,2,Oceania
EMP0073,5,Yes,No Change,Unsatisfied,1,Africa
EMP0074,3,Yes,Decrease,Neutral,1,Africa
EMP0075,2,No,No Change,Neutral,3,Africa
EMP0076,5,Yes,No Change,Satisfied,3,Asia
EMP0077,4,No,No Change,Unsatisfied,2,Europe
EMP0078,5,Yes,No Change,Satisfied,1,South America
EMP0079,2,Yes,Increase,Neutral,1,South America
EMP0080,5,No,No Change,Unsatisfied,3,Asia
EMP0081,3,No,Decrease,Satisfied,4,Asia
EMP0082,4,Yes,Increase,Neutral,2,South America
EMP0083,3,Yes,Increase,Unsatisfied,2,North America
EMP0084,4,Yes,Increase,Unsatisfied,3,Europe
EMP0085,4,Yes,Decrease,Unsatisfied,5,Oceania
EMP0086,4,No,No Change,Unsatisfied,4,Asia
EMP0087,1,No,Decrease,Satisfied,1,North America
EMP0088,1,Yes,Increase,Unsatisfied,2,Africa
EMP0089,5,Yes,Increase,Neutral,2,North America
EMP0090,4,Yes,Increase,Unsatisfied,4,Oceania
EMP0091,4,No,No Change,Unsatisfied,2,Africa
EMP0092,1,No,Decrease,Satisfied,5,South America
EMP0093,5,No,Increase,Satisfied,5,Asia
EMP0094,4,Yes,Decrease,Satisfied,4,Europe
EMP0095,5,No,Decrease,Neutral,4,Africa
EMP0096,5,No,Decrease,Satisfied,3,Asia
EMP0097,1,No,Decrease,Neutral,5,Africa
EMP0098,4,No,Increase,Neutral,3,South America
EMP0099,1,No,No Change,Satisfied,5,Asia
EMP0100,2,No,Decrease,Satisfied,4,Africa
EMP0101,1,No,Increase,Satisfied,1,Asia
EMP0102,1,No,Increase,Neutral,2,Africa
EMP0103,4,No,No Change,Satisfied,4,Africa
EMP0104,4,Yes,Increase,Satisfied,5,Africa
EMP0105,4,Yes,Decrease,Satisfied,3,Africa
EMP0106,3,Yes,Increase,Neutral,3,South America
EMP0107,1,Yes,Decrease,Neutral,2,South America
EMP0108,2,No,Decrease,Satisfied,5,Europe
EMP0109,4,No,No Change,Satisfied,2,Oceania
EMP0110,5,No,No Change,Neutral,5,Asia
EMP0111,3,Yes,Increase,Unsatisfied,5,Africa
EMP0112,5,No,Decrease,Unsatisfied,1,Africa
EMP0113,1,Yes,Increase,Satisfied,5,Europe
EMP0114,3,Yes,Decrease,Neutral,5,Europe
EMP0115,2,No,No Change,Neutral,3,Oceania
EMP0116,3,Yes,No Change,Unsatisfied,3,South America
EMP0117,3,No,Increase,Satisfied,3,North America
EMP0118,2,No,Increase,Satisfied,3,Europe
EMP0119,2,Yes,Increase,Satisfied,3,Europe
EMP0120,2,Yes,Decrease,Unsatisfied,5,Africa
EMP0121,2,No,Decrease,Neutral,5,South America
EMP0122,5,Yes,No Change,Unsatisfied,3,Europe
EMP0123,2,Yes,No Change,Unsatisfied,1,Africa
EMP0124,2,Yes,Increase,Satisfied,5,North America
EMP0125,2,Yes,No Change,Unsatisfied,4,South America
EMP0126,3,No,Increase,Unsatisfied,4,South America
EMP0127,2,Yes,Decrease,Unsatisfied,1,North America
EMP0128,5,Yes,Decrease,Unsatisfied,2,Europe
EMP0129,4,No,No Change,Unsatisfied,2,Europe
EMP0130,3,Yes,Decrease,Unsatisfied,3,Oceania
EMP0131,1,No,No Change,Neutral,5,Africa
EMP0132,5,Yes,Increase,Unsatisfied,4,Africa
EMP0133,3,No,No Change,Neutral,2,South America
EMP0134,1,Yes,Decrease,Satisfied,2,Europe
EMP0135,4,No,Increase,Unsatisfied,2,Oceania
EMP0136,5,No,Increase,Unsatisfied,5,Oceania
EMP0137,2,No,No Change,Neutral,5,South America
EMP0138,4,Yes,No Change,Satisfied,5,Oceania
EMP0139,3,No,Increase,Unsatisfied,5,North America
EMP0140,5,Yes,Decrease,Satisfied,1,Asia
EMP0141,1,Yes,Decrease,Satisfied,5,Africa
EMP0142,5,Yes,Decrease,Neutral,4,Asia
EMP0143,5,No,No Change,Unsatisfied,1,Europe
EMP0144,5,No,No Change,Satisfied,2,North America
EMP0145,5,No,No Change,Unsatisfied,2,Asia
EMP0146,3,Yes,Decrease,Satisfied,4,Europe
EMP0147,2,No,Increase,Neutral,3,Africa
EMP0148,1,Yes,No Change,Unsatisfied,5,North America
EMP0149,4,Yes,Decrease,Satisfied,4,Oceania
EMP0150,2,Yes,Decrease,Unsatisfied,3,Oceania
EMP0151,3,Yes,Decrease,Unsatisfied,3,Oceania
EMP0152,4,No,No Change,Satisfied,4,Oceania
EMP0153,1,No,Increase,Unsatisfied,2,Africa
