Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Region
EMP0001,32,Non-binary,HR,Healthcare,13,Hybrid,Europe
EMP0002,40,Female,Data Scientist,IT,3,Remote,Asia
EMP0003,59,Non-binary,Software Engineer,Education,22,Hybrid,North America
EMP0004,27,Male,Software Engineer,Finance,20,Onsite,Europe
EMP0005,49,Male,Sales,Consulting,32,Onsite,North America
EMP0006,59,Non-binary,Sales,IT,31,Hybrid,South America
EMP0007,31,Prefer not to say,Sales,IT,24,Remote,Asia
EMP0008,42,Non-binary,Data Scientist,Manufacturing,6,Onsite,North America
EMP0009,56,Prefer not to say,Data Scientist,Healthcare,9,Hybrid,Europe
EMP0010,30,Female,HR,IT,28,Hybrid,North America
EMP0011,33,Non-binary,Software Engineer,Finance,17,Remote,Oceania
EMP0012,47,Female,Marketing,Consulting,31,Hybrid,Africa
EMP0013,40,Female,Marketing,Consulting,1,Remote,Europe
EMP0014,51,Non-binary,Designer,Manufacturing,5,Hybrid,North America
EMP0015,36,Prefer not to say,Project Manager,Retail,23,Remote,Oceania
EMP0016,56,Female,Sales,Healthcare,13,Remote,Africa
EMP0017,33,Prefer not to say,HR,Education,3,Onsite,Africa
EMP0018,45,Non-binary,Data Scientist,Consulting,20,Onsite,Europe
EMP0019,49,Non-binary,Software Engineer,IT,30,Remote,Oceania
EMP0020,59,Male,Software Engineer,Consulting,13,Remote,South America
EMP0021,26,Female,Sales,Retail,33,Hybrid,South America
EMP0022,26,Non-binary,Sales,Education,21,Onsite,North America
EMP0023,43,Prefer not to say,Sales,Finance,21,Onsite,Africa
EMP0024,53,Non-binary,Marketing,Consulting,11,Onsite,Asia
EMP0025,56,Male,Sales,Finance,6,Remote,North America
EMP0026,49,Male,Project Manager,Healthcare,23,Onsite,South America
EMP0027,36,Non-binary,Project Manager,Retail,30,Onsite,North America
EMP0028,53,Female,Project Manager,Retail,31,Onsite,Oceania
EMP0029,47,Prefer not to say,Sales,IT,22,Onsite,Europe
EMP0030,59,Male,Software Engineer,Healthcare,34,Remote,North America
EMP0031,22,Female,Data Scientist,IT,22,Onsite,Asia
EMP0032,37,Prefer not to say,Marketing,Manufacturing,4,Hybrid,North America
EMP0033,45,Prefer not to say,Project Manager,Manufacturing,29,Remote,North America
EMP0034,48,Male,Software Engineer,Healthcare,27,Remote,North America
EMP0035,36,Male,Designer,IT,24,Hybrid,Europe
EMP0036,46,Prefer not to say,Sales,Healthcare,28,Hybrid,Europe
EMP0037,48,Male,Sales,Finance,10,Onsite,Asia
EMP0038,31,Female,Designer,Healthcare,18,Remote,Asia
EMP0039,24,Non-binary,Sales,IT,21,Onsite,Africa
